[2019-01-04 01:50:08] main.ERROR: Error: Application is not installed yet.  [] []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_4","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_4","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_4","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_21","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_21","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_36","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_36","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_1","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_1","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_3","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_3","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_9","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_9","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_10","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_10","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
